Date,Open,High,Low,Close,Volume
20-Jul-17,997.00,998.68,984.62,992.19,1418385
19-Jul-17,990.01,995.60,987.01,992.77,1412148
18-Jul-17,973.36,990.85,972.04,986.95,1413335
17-Jul-17,976.32,983.35,970.80,975.96,1660464
14-Jul-17,974.00,977.54,970.15,976.91,1079608
13-Jul-17,970.80,978.70,964.80,968.85,1524571
12-Jul-17,960.86,969.63,957.04,967.66,1602115
11-Jul-17,950.52,954.89,945.12,953.53,1461247
10-Jul-17,941.95,953.13,941.95,951.00,1451460
7-Jul-17,930.98,944.66,929.79,940.81,1663302
6-Jul-17,925.00,936.14,919.85,927.69,2014855
5-Jul-17,924.20,936.29,918.63,932.26,2094055
3-Jul-17,933.22,934.24,915.31,919.46,1694811
